stage,stage_n
vmanuf_cost_of_production,Virgin polymer manufacturing cost
collection_cost_waste_plastic,Collection cost waste plastic
landfill_transportation_cost_waste_plastic,Landfill transportation cost waste plastic
wte_transportation_cost_waste_plastic,Transportation cost waste plastic to incinerator
mrf_transportation_cost_waste_plastic,Transportation cost waste plastic to MRF
mrf_sorting_cost_plastic,Material Recovery Facility sorting cost plastic
transportation_cost_mrf_to_reclaimer,Transportation cost MRF to reclaimer
mechanical_reclaiming_cost,Mechanical reclaiming cost
chemical_reclaiming_cost,Chemical reclaiming cost
pyrolysis_upcycling_cost,Pyrolysis cost
fiber_resin_upcycling_cost,Fiber resin upcycling cost
landfill_costs,Landfill cost
incineration_cost,Incineration cost
